index_P,april.n.01,nothing.n.01,pound.n.10,wrinkle.n.01,austral.n.01,acre.n.03,wheat.n.02,billion.n.03,whitethorn.n.01,usage.n.03,hour_angle.n.02,mexico.n.01,volt.n.01,franc.n.01,security.n.04,termination.n.05,montana.n.01,elevation.n.03,dole.n.01,taiwan.n.02,redemption.n.02,portland.n.02,sugar.n.01,percentage.n.01,store.n.02,hectare.n.01,worm.n.02,rescue.n.01,yugoslav.n.01,alberta.n.01,february.n.01,fob.n.03,cooperative.n.01,sellers.n.01,treatment.n.01,duty.n.03,cargo.n.01,colombia.n.01,malted.n.01,basket.n.04,july.n.01,loanword.n.01,mission.n.04,jordan.n.02,bonus.n.02,army.n.02,government_accounting_office.n.01,argentina.n.01,pale_yellow.n.01,semolina.n.01,connecticut.n.01,food_and_agriculture_organization.n.01,home_plate.n.01,estate.n.02,maximum.n.03,june.n.01,cambodia.n.01,workweek.n.01,intravenous_feeding.n.01,ski_tow.n.01,commitment.n.05,license.n.01,protein.n.01,roberts.n.04,rebate.n.01,renewal.n.02,seaway.n.01,burlington.n.01,hydrofluorocarbon.n.01,substitute.n.02,elevator.n.01,registration.n.02,goal.n.01,bushel.n.02,tanzania.n.01,planting.n.03,season.n.03,millimeter.n.01,soviet_union.n.01,metric_ton.n.01,brazil_nut.n.02,pitch.n.02,offerer.n.01,source.n.07,arabian_peninsula.n.01,saudi.n.01,agreement.n.06,lining.n.03,cooperation.n.02,blemish.n.01,january.n.01,water.n.01,peer.n.01,exporter.n.01,algeria.n.01,paddy.n.01,month.n.02,hassium.n.01,barley.n.02,stage_set.n.01
436,0,0.3353,0.6645,0.0146,3.655,0.0376,0,0,2.3348,2.63,2.9057,2.1708,13.1931,0,0,0,0,0,3.237,1.5417,0,0.115,0,0.1916,0,0.3006,0,1.758,0,0,0,0.1684,0,0,0,0,0.5087,0,3.688,0,0,0.3882,0.5567,0.0449,0.0137,1.9318,2.199,0.0269,0,0,0.0043,0,3.2608,0,6.8106,0,0,0,0,0,1.667,0.0022,8.1571,0,0.0317,1.6269,0,0.5109,0,0.8353,3.3705,0.2602,0.0653,0.1487,0,0,0,0.2342,16.4558,0.1631,0,0.4111,0.9341,0.0003,0.5224,1.5559,0.2886,0,0.4046,0,0.0146,0,0.5818,0,0,0,0,0.361,0.0506,0.0492
196,0,0,0,0,4.7221,0,0,0,0,0,2.4866,0,0,0,0,0.0409,2.0229,0,1.1772,0,0,0,0,0,0.1638,0,0,0,0,0.0352,0,1.4327,0.0427,0,0,0.8822,0.1505,0.0806,0,1.4332,0.0098,0,0.4941,0,0,0,0,0,0,0,0,0.0123,0.0166,0,0.0582,0,1.2554,0,0.2401,0,0.0036,0,0,0,0,0,0.0022,0,0,0,0,0,0,0,0,0,2.6803,0,1.1651,0,0,0.4756,0,0.0071,0,0.0315,0,0,0.7362,0,0,0,0,1.6878,0,0,0,0,0,0
528,0,0.1364,0,0,0.5247,0,0.4176,0.1132,0,1.3756,0,0.3947,0.4594,0,0,0,0,0.0326,0,0.0818,0,0,0,0,0,0,0,0.2597,0,0.9406,0,0.0108,0,0,0,0,0,0,0.0177,0.0841,0.0035,0,0,0.0049,0.0809,2.1028,0.0162,0,0,0,0.0586,0,0,0.0017,0,0,0.0804,0.1859,0,0,0,0,0.0985,0.0794,0.0126,0.0803,0,0,0.3278,0.1871,0.3285,0.0237,0.0447,0,0,0,0,0.1856,2.0886,0.0468,0.4474,0.011,0.2313,0,0,0.0661,0,0,0.0126,0,0,0,0,1.5966,0,0.0583,0.014,0,0,0
215,0,0,0.0969,0,2.2271,0,0,1.7056,1.116,1.4676,1.067,0.0273,7.6752,0,0.4613,0,0,0,2.0564,0.9238,0,0.566,0,0,0.4168,0.3291,0,0.6498,0,0.1605,0,0.5526,0,0.3774,0,0,0.3246,0,1.8539,0,0,0.0285,0.1886,0,0.0501,0.525,0,0.0485,0.1136,0,0.0685,0.023,0.0938,1.6151,3.0947,0,0.2519,0,0,0,0,0,4.0418,0,0,0.8592,0,0,0,0,1.2413,0.2317,0.2409,0.0052,0,0,0,0,9.1418,0,0.2159,0,0.3842,0.0195,0,0,0,0.0623,0,3.5748,0,1.4476,0.101,0,0.9956,0.0284,0.1456,0.0416,0.1084,0
374,0,0,0,0,1.6982,0,2.2186,0,0.3135,1.6605,0.8456,1.0156,6.5108,0,0.0073,0,1.2525,0,4.0399,5.9134,0,0.0284,0,1.1413,0.2823,0.0168,0,1.3054,0,1.052,0,0,0,0.0036,0,0,0,0,2.1911,0,0,0,0.4596,0,0.3357,1.9835,0,0,0.2023,0,0,0,0,0,0,0,0,0,0,0.4892,0,0.0021,0.6445,0.5275,0,0.7424,0,0,0.1928,0.1691,2.4571,0.8608,0,0,0,0,0,0,14.1726,0,0,0.6967,0,0,0,1.3366,0,0,0.0808,0.0003,0.0155,0.0001,0,0,0,0.1763,0.618,0,0,0.0336
426,0,0,0.0279,0.2407,0.242,0,0.0718,0,0.144,0.1699,0.0388,0.0662,0.8325,0,0.0147,0,0,0,0.262,0.1265,0,0.2768,0,0.0734,0.0342,0.4696,0,0.1739,0,0.0273,0,0,0.0342,0,0,0,0.0625,0.0057,0.2748,0,0,0.0366,0.0446,0,0,0.0443,0,0.0017,0,0.0268,0.0629,0.0034,0,0.0012,0,0.1775,0,0,0.034,0.0172,0.002,0,0.1115,0,0.0028,0.1112,0.0098,0.0008,0,0.0362,0.208,0.013,0,0.0161,0,0,0,0,1.0749,0,0.141,0.1346,0.0611,0.0089,0,0.1168,0,0,0.2306,0.3496,0,0.2341,0,0,0,0,0.0243,0.1765,0,0.5278
438,0,0.1853,0,0,3.725,0.1649,0.7334,0.0284,3.3322,3.6552,1.2287,1.8513,16.0901,0,0,0,0,0,4.1956,1.857,0,0.5346,0,0.0758,0.7146,2.0172,0,2.1391,0,0.5004,0,0.2519,0,0,0,0,0.6805,0,5.3194,0,0,0,0.6833,0.4002,0,1.6374,0,0,0,0,0.3875,0.3427,0,0,6.5341,0,0,0,0,0.219,0,1.8856,9.1753,0,1.1755,2.0823,0,0,0.1584,0,4.206,0.3196,0.4934,0.158,0,0,0,0,22.3335,0,0.2116,0.0421,1.4541,0,0.7625,1.9774,0,0,0,0,0.0126,0,0,0,0,0.7739,0.594,0,0.4355,0
35,0,0.2157,0,0.064,0.2129,0,0.7491,0.2858,0.182,0,0,0.2072,0,0.0728,0,0,0.2721,0.0976,0,0.1017,0,0.0594,0,0,0.7086,0,0,0,0.187,0,0.0794,0.0732,0,0,0.0719,0.3726,0,0,0,1.7033,0,0,0,0.0386,0.0942,2.6596,0.0449,0,0,0,0,0,0.0018,0.0678,0.0379,0,0.0108,0.0307,0.0527,0,0,0.0293,0.1373,0,0,0,0,0,0.2827,0.1715,0,0.0214,0.0497,0,0,0,0.1559,0.2471,0,0.0551,0.6851,0,0.1859,0,0,0,0,0,0,0.1402,0,0.0521,0.0032,0,0.0126,0.0712,0,0.0072,0,0.0009
519,0,0.5887,0.344,0.0067,2.6324,0.0195,0,0,1.8974,1.9651,2.2209,1.6835,9.6303,0,0,0,0,0,2.5179,1.0425,0,0,0,0.2339,0,0,0,1.3783,0,0.067,0,0.0475,0,0,0,0,0.4235,0,3.1476,0,0,0.284,0.4325,0.0552,0,1.9189,2.0783,0.0553,0.4917,0,0,0,2.5958,0,4.9806,0,0,0,0,0,1.1353,0.1841,5.9679,0,0.1298,1.2798,0,0,0,0.652,2.5722,0.2435,0.0252,0.2506,0,0,0,0.152,12.4246,0.1872,0,0.1807,0.8514,0,0.7758,1.1294,0.0941,0,0.6262,0,0.0262,0,0,0,0,0,0,0.2173,0,0.0002
160,0,0,0,0,0,0,1.525,2.8663,2.287,0.8978,0.4543,0,4.1185,0,0.1079,0,0,0.417,1.4473,0.5122,0,0,0,0,0.0907,0,0,0.0836,0,1.3705,0.932,0,0.175,0,0,0,0.333,0,1.3345,0,0,0,0.5054,1.5096,0,2.486,1.7889,1.0653,0,0,0.1861,0,0,0,2.4033,0,1.6921,0,1.5424,1.8811,0,0,3.1142,0,0,0.3146,0,0,0,0.7285,0.7844,0.562,0,0,0,0,0,0,4.9798,0,0,0.9166,0.2763,0.0008,0.1121,0.4298,0,0,0.5035,3.7226,0.017,1.1535,0.1153,0.5581,0,0,0.027,0,0.0001,0
290,0,0.0524,0.3178,0.2223,1.6758,0,0,0.0483,0.8259,1.9794,0.7513,1.1363,6.411,0,0,0,1.659,0,3.7836,4.7397,0,0.0907,0,0,0.344,0,0.3515,1.1334,0,0.2318,0,0.0688,0,0,0,0,0,0,2.584,0,0,0.0298,0.4428,0.0505,0.2774,0.8074,0,0,0,0,0.6939,0.0344,0,0,0.3191,0.1015,0,0,0,0.026,0,0.007,0.1926,0.1551,0,1.0719,0,0,0,0.1332,2.5079,0.2768,0,0,0,0,0,0,13.5867,0.001,0.0155,0.1197,0,0.0067,0.0033,1.2395,0,0,0.0218,0.0008,0,0.0092,0.0144,0,0,0,0.5523,0.4128,1.1572,0
34,0,0,0.3638,0,4.8797,0,0,0.1084,1.1476,1.1355,2.1279,0,8.4058,0,0.2379,0,0,0,3.6311,0.2579,0,0.0028,0,0,0.5485,0,1.8022,0.5035,0,0.077,0,0.7989,0.2307,0,0,0,0.9292,0.575,2.1515,0,0,0,0.7962,0.0041,0.3777,0.5273,0,0,0,0.1737,0,0.0506,0,0.0031,2.1837,1.6183,0.5875,0,0.094,0,0.0081,0,2.9954,4.5768,0,1.2261,0,0.0151,0,0,0,0,0,0,0,0,0,0.001,13.4221,0,0.0013,0.437,0.7213,1.4442,0,1.1452,0.073,0,0.5035,0,0.0043,0,0,0,0,0.3258,0.0918,0,0.0409,0.0411
225,0,0.6011,0,0,1.5232,0.0416,0.0209,0,1.7299,1.4171,1.7763,0.9616,7.3331,0,0,1.1406,0,1.8482,2.1574,0.6947,0,0,0,0.0155,1.1559,0,0,1.007,0,0,0,0,0,0,0,0,0.1685,0,1.6975,0,0,0.0134,0.0781,0.1112,0.0383,0.679,0,0,0,0,0.0163,0,2.4541,0,5.7315,0,0,0,0.945,0.2894,0.0806,0.1935,6.1879,0,0.1173,0.8039,1.1898,0,0,0.2775,1.7258,0.2411,0.1122,0.1169,0.0574,0,0,0,7.3143,0.1831,0,0.392,0.5428,0,0.3305,0.7799,0.1201,0.6737,0.3657,0,0.0247,0,0,0,0,0,0,0.9137,0,0.0016
521,1.1024,0,0,0,0.0928,0,0,0.2518,0.0844,1.7723,0.1698,0,1.2896,0.149,0.0835,0,0.7515,0,0.2962,0,0.3011,0.158,0,0.0983,0,0.0879,0,0,0,0.0045,0.069,0.1105,0.0645,0.1084,0.1659,0,0,0.0802,0,2.5351,0.0102,0.1182,0,0,0,0,0,0.0582,0.2283,0,0,0.2996,0.0298,0.3037,0.4028,0,0.0745,0,0,0.0307,0,0,0.6095,0,0,0,0,0,0,0.0448,0,0.3475,0,0.103,0,0,5.7687,0,3.4555,0,0.0138,0.0658,0,0.0005,0,0,0,0,0,0.612,0,0.2219,0.0136,0,0.263,0.0593,0,0.0016,0.0004,0
395,7.5645,0,0,0.1769,0,0.0587,0.0001,0,0,0,0,0,0,4.0943,0,0.4068,3.3491,0.2902,0,0,2.7558,0,2.3217,0.0002,0,0.0012,0,0,1.8344,0,0.7065,0,0.2557,0,2.0859,3.5339,0,0.2687,0,4.6108,0.1197,0.0001,0,0.006,0,0,0.2198,0.0793,0,0,0.0001,0,0.0136,0,0,0,0.1486,0.3024,0.182,0,0.0138,0.0071,0,0,0.0005,0,0.0224,0.0246,0.0237,0,0,0,0,0,0,0.5773,9.9659,0,0,0,0.0266,0,0,0.0016,0,0,0,0.099,0,0,0.002,0,0,3.3253,0.2293,0,0,0.0202,0.0001,0
512,0,0.5588,0,0,1.7723,0.2509,0,2.1003,1.5401,1.7256,0.2875,0.7944,7.828,0,0.5415,0.074,0,0.0487,2.0698,0.9196,0,0.0559,0,1.619,0.4655,1.9775,0,1.2342,0,0,0,0.0364,0.0265,0.5577,0,0,0.3777,0,2.5731,0,0,0,0.3265,0.1537,0,1.6272,0.1002,0,0,0,0.3776,0,0,0,3.5769,0,0,0,0,0.27,0,0,5.4003,0,0,0.9791,0,0,0.171,0,2.0351,0.0968,2.6534,0.1752,0,0,0,4.169,9.9757,0.6035,0,0.1838,0.6871,0,0,0.9115,0.4698,0,0,4.1868,0,1.7976,0,0,0,0.7961,0.1657,0,0.4596,0
372,0,0.397,0,0.1319,0.8312,0,0.0093,0.4278,0,0,0,0.1887,0.4397,0,0,0,1.4476,0,0,0.8222,1.4815,0.8307,0,0,0.0946,0,0,0,1.8428,0.4814,1.6132,0.0643,0.0834,0,0,0.1951,0,0,0,1.115,0.0074,0,0,0.4584,0.0673,1.6236,0,0.002,0,0,0.5306,0,0,0,0,0,0.2085,0.4191,0.0203,0,0,0.0768,0,0,0,0,0,0,0,0.0279,0.1035,0.0529,0,0.4124,0,0,1.465,0,3.9612,0,0.0385,0.0779,0,0.0076,0,0.3384,0,0,0,0,0,0,0,0.1979,0,0,0,0.1843,0.3841,0
233,0,0.5903,0.0016,0.735,3.1777,0.242,0.0051,0,2.302,2.7178,2.5593,2.1068,11.8498,0,0,0.9376,0,0,3.1074,1.3759,0,0,0,0.0015,1.6672,0,0,1.4436,0,0,0,0.3008,0,0,0,0,0.8661,0,3.8986,0,0,0.0044,0.5988,0.0645,0.0066,0.4072,2.0415,0.0747,0,0,0.0032,0,2.867,0,3.674,0,0,0,0,0,0,0.2139,5.5634,0,0.1612,1.6112,1.8955,0,0.2999,0,3.3763,0.2939,0.0699,0.1777,0.0468,0,0,0.1895,16.2117,0.1736,0,0.4297,1.0902,0,0.7638,1.4398,0,0.6511,0.6435,0,0.0185,0,0,0,0,0.5819,0,0.393,0,0.0004
265,0,0.5903,0.0016,0.735,3.1777,0.242,0.0051,0,2.302,2.7178,2.5593,2.1068,11.8498,0,0,0.9376,0,0,3.1074,1.3759,0,0,0,0.0015,1.6672,0,0,1.4436,0,0,0,0.3008,0,0,0,0,0.8661,0,3.8986,0,0,0.0044,0.5988,0.0645,0.0066,0.4072,2.0415,0.0747,0,0,0.0032,0,2.867,0,3.674,0,0,0,0,0,0,0.2139,5.5634,0,0.1612,1.6112,1.8955,0,0.2999,0,3.3763,0.2939,0.0699,0.1777,0.0468,0,0,0.1895,16.2117,0.1736,0,0.4297,1.0902,0,0.7638,1.4398,0,0.6511,0.6435,0,0.0185,0,0,0,0,0.5819,0,0.393,0,0.0004
566,0,0,0.0388,0,3.941,0,0,0.0406,0,0,2.2109,0,0,0,0,0,1.2273,0,0.8031,0,0,0.0295,0,0,0.2192,0.0191,0,0,0,0.0384,0,0.8996,0,0.0324,0,0,0.2465,0.0004,0.9447,0,0.0068,0,0,0,0,0.0909,0,1.145,0.0005,0.0341,0,0.0073,0,0.0676,0.302,0.0331,0,0.0768,0.1282,0,0,0,0.3348,0.075,0,0.3157,0,0,0.0017,0,0,0,0.001,0,0,0,0,0,0,0,0.0087,0.3366,0.1253,0,0,0.2631,0.0114,0,0.4329,0.131,0,0.0646,0.0329,0.788,0,0,0.162,0,0.0946,0.0946
176,0,0.0365,0,0,0.3212,0,0.554,0.0453,0,0,0.2522,0.0442,1.5524,0,0,0,0,0,0.5165,1.5323,0.0047,0.0315,0,0,0.6113,0,0,0.2029,0,0,0.0456,0.0172,0,0,0,0.569,0,0,0,1.4564,0,0,0.0014,0.0387,0.1286,0.7169,0,0,0,0,0.078,0,0,0,0.0045,0.0042,0.0431,0.122,0,0.1081,0,0.014,0,0,0,0,0,0,0,0.1434,0.2777,1.5275,0,0,0,0,2.7782,0,3.9365,0,0.1408,0.5631,0.238,0,0,0.389,0,0,0.0974,0,0,0,0,0.4364,0,0.1923,0,0.0355,0.0001,0
165,0,0.5877,0.0016,0.7316,3.1633,0.2409,0.0051,0,2.2916,2.7054,2.5477,2.0972,11.7961,0,0,0.9333,0,0,3.0933,1.3697,0,0,0,0.0015,1.6596,0,0,1.4371,0,0,0,0.2995,0,0,0,0,0.8622,0,3.8809,0,0,0.0044,0.5961,0.0643,0.0066,0.4054,2.0322,0.0744,0,0,0.0032,0,2.854,0,3.6574,0,0,0,0,0,0,0.2129,5.5382,0,0.1604,1.6039,1.8869,0,0.2986,0,3.361,0.2926,0.0696,0.1769,0.0466,0,0,0.1887,16.1382,0.1729,0,0.4278,1.0852,0,0.7604,1.4332,0,0.6481,0.6405,0,0.0185,0,0,0,0,0.5793,0,0.3913,0,0.0004
60,0,0.5877,0.0016,0.7316,3.1633,0.2409,0.0051,0,2.2916,2.7054,2.5477,2.0972,11.7961,0,0,0.9333,0,0,3.0933,1.3697,0,0,0,0.0015,1.6596,0,0,1.4371,0,0,0,0.2995,0,0,0,0,0.8622,0,3.8809,0,0,0.0044,0.5961,0.0643,0.0066,0.4054,2.0322,0.0744,0,0,0.0032,0,2.854,0,3.6574,0,0,0,0,0,0,0.2129,5.5382,0,0.1604,1.6039,1.8869,0,0.2986,0,3.361,0.2926,0.0696,0.1769,0.0466,0,0,0.1887,16.1382,0.1729,0,0.4278,1.0852,0,0.7604,1.4332,0,0.6481,0.6405,0,0.0185,0,0,0,0,0.5793,0,0.3913,0,0.0004
389,0,0.5862,0.0015,0.7299,3.1556,0.2403,0.0051,0,2.286,2.6988,2.5415,2.0921,11.7673,0,0,0.9311,0,0,3.0858,1.3663,0,0,0,0.0015,1.6556,0,0,1.4335,0,0,0,0.2987,0,0,0,0,0.8601,0,3.8715,0,0,0.0044,0.5947,0.0641,0.0065,0.4044,2.0273,0.0742,0,0,0.0032,0,2.847,0,3.6484,0,0,0,0,0,0,0.2124,5.5247,0,0.16,1.6,1.8823,0,0.2978,0,3.3528,0.2919,0.0694,0.1764,0.0465,0,0,0.1882,16.0989,0.1724,0,0.4268,1.0826,0,0.7585,1.4297,0,0.6466,0.639,0,0.0184,0,0,0,0,0.5779,0,0.3903,0,0.0004
526,0,0.5152,0,0,4.5965,0,0,0,0.5782,0.268,2.9659,0,2.9644,0,0,0,0.365,0.0951,1.6228,0.105,0,0,0,0.0578,0.2536,0,0,0.0488,0,0.192,0,0.807,0,0,0,0,0.469,0,2.122,0,0,0.067,0,0.005,0,0.9171,0,1.0171,0.1115,0,0,0.1462,0.7888,0,1.2989,0,0,0,0.77,0,0,0.0514,1.9315,0,0.0878,0.8668,0,0,0.0905,0,0,0,0.1133,0,0,0,0,0.4933,2.979,0.1816,1.0053,0.3885,0.3955,0.0047,0.1789,0.743,0,0,0.6084,0,0,0,0,0,0,0,0.1384,0.2016,0,0
55,0,1.2222,0,0,0,0.0918,0.0909,0.7346,0.4554,0,0.5634,1.556,0,0,0,0,0,0,0,0,0,0,0,0,0.1003,0,0,0,0,0.4967,0,0.0546,0.4863,0,0,0,0.0088,0,0.7289,0,0,0,0,0,0.1121,1.5619,0.0647,0,0,0,0.0128,0.1125,0,0.026,0.8574,0,0,0,0,0.0336,0,0,1.6943,0.7489,0.1561,0.6047,0,0,0.1055,0.0576,0.4244,0,0.3985,0.4235,0,0.2387,2.1005,1.6739,0,0.4654,4.0722,0,0,0,0.1643,0.1703,0,0,0,0,0,0,0.1103,0,0.0561,0.0381,0.1543,0,0.0891,0.0894
