index_P,index_sent,full_word,lesks,lesks_name
3,13,Australia- largest- beef- supplier- Japan- trying- boost- exports- prior- expiry- four- year- beef- accord- next- March,"[Synset('australia.n.01'), Synset('large.s.06'), Synset('gripe.v.01'), Synset('supplier.n.01'), Synset('japan.v.01'), Synset('try_on.v.01'), Synset('boost.v.02'), Synset('export.v.02'), Synset('prior.n.01'), Synset('termination.n.01'), Synset('four-spot.n.01'), Synset('year.n.03'), Synset('gripe.v.01'), Synset('treaty.n.01'), Synset('next.r.01'), Synset('master_of_architecture.n.01')]","['australia.n.01', 'large.s.06', 'gripe.v.01', 'supplier.n.01', 'japan.v.01', 'try_on.v.01', 'boost.v.02', 'export.v.02', 'prior.n.01', 'termination.n.01', 'four-spot.n.01', 'year.n.03', 'gripe.v.01', 'treaty.n.01', 'next.r.01', 'master_of_architecture.n.01']"
3,14,Imports- U- Corn- fallen- due- increased- sales- China- South- America- Japanese- soybean- imports- Brazil- expected- rise- sharply- year- although- U- remain- largest- supplier,"[Synset('significance.n.02'), Synset('uranium.n.01'), Synset('corn_whiskey.n.01'), Synset('hang.v.05'), Synset('due.n.02'), Synset('increased.a.01'), Synset('sale.n.05'), Synset('taiwan.n.01'), Synset('south.r.01'), Synset('united_states.n.01'), Synset('japanese.n.01'), Synset('soy.n.04'), Synset('significance.n.02'), Synset('brazil_nut.n.02'), Synset('expect.v.05'), Synset('upgrade.n.04'), Synset('sharply.r.02'), Synset('year.n.03'), Synset('uranium.n.01'), Synset('stay.v.04'), Synset('large.s.06'), Synset('supplier.n.01')]","['significance.n.02', 'uranium.n.01', 'corn_whiskey.n.01', 'hang.v.05', 'due.n.02', 'increased.a.01', 'sale.n.05', 'taiwan.n.01', 'south.r.01', 'united_states.n.01', 'japanese.n.01', 'soy.n.04', 'significance.n.02', 'brazil_nut.n.02', 'expect.v.05', 'upgrade.n.04', 'sharply.r.02', 'year.n.03', 'uranium.n.01', 'stay.v.04', 'large.s.06', 'supplier.n.01']"
3,15,,[],[]
3,16,,[],[]
3,17,,[],[]
3,18,Agricultural- exports- beef- market- alone- representing- one- billion- dlrs- new- business,"[Synset('agricultural.a.01'), Synset('export.v.02'), Synset('gripe.v.01'), Synset('marketplace.n.02'), Synset('entirely.r.02'), Synset('typify.v.02'), Synset('one.s.06'), Synset('million.n.02'), Synset('newfangled.s.01'), Synset('business.n.04')]","['agricultural.a.01', 'export.v.02', 'gripe.v.01', 'marketplace.n.02', 'entirely.r.02', 'typify.v.02', 'one.s.06', 'million.n.02', 'newfangled.s.01', 'business.n.04']"
3,19,U- also- asked- General- Agreement- Tariffs- Trade- investigate- legality- Japanese- import- controls- farm- products- including- fruit- juices- purees- pulp- tomato- juice- ketchup- sauce- peanuts- prepared- beef- products- miscellaneous- beans,"[Synset('uranium.n.01'), Synset('besides.r.02'), Synset('ask.v.07'), Synset('general.v.01'), Synset('agreement.n.06'), Synset('tariff.v.01'), Synset('trade.v.03'), Synset('investigate.v.02'), Synset('legality.n.01'), Synset('japanese.n.01'), Synset('significance.n.02'), Synset('master.v.04'), Synset('farm.v.01'), Synset('product.n.05'), Synset('include.v.03'), Synset('yield.n.03'), Synset('juice.n.04'), Synset('puree.v.01'), Synset('pulp.v.01'), Synset('tomato.n.01'), Synset('juice.n.04'), Synset('catsup.n.01'), Synset('sauce.v.02'), Synset('peanuts.n.01'), Synset('train.v.02'), Synset('gripe.v.01'), Synset('product.n.05'), Synset('assorted.s.01'), Synset('bean.v.01')]","['uranium.n.01', 'besides.r.02', 'ask.v.07', 'general.v.01', 'agreement.n.06', 'tariff.v.01', 'trade.v.03', 'investigate.v.02', 'legality.n.01', 'japanese.n.01', 'significance.n.02', 'master.v.04', 'farm.v.01', 'product.n.05', 'include.v.03', 'yield.n.03', 'juice.n.04', 'puree.v.01', 'pulp.v.01', 'tomato.n.01', 'juice.n.04', 'catsup.n.01', 'sauce.v.02', 'peanuts.n.01', 'train.v.02', 'gripe.v.01', 'product.n.05', 'assorted.s.01', 'bean.v.01']"
3,20,help- calm- heated- trade- relations- U- Japan- top- business- group- Keidanren- urged- government- remove- residual- import- restrictions- agricultural- products,"[Synset('help_oneself.v.01'), Synset('sedate.v.01'), Synset('heated.s.01'), Synset('trade.v.03'), Synset('sexual_intercourse.n.01'), Synset('uranium.n.01'), Synset('japan.v.01'), Synset('top.v.07'), Synset('business.n.04'), Synset('group.v.02'), Synset('urge.v.01'), Synset('government.n.03'), Synset('remove.v.02'), Synset('residual.n.02'), Synset('significance.n.02'), Synset('restriction.n.01'), Synset('agricultural.a.01'), Synset('product.n.05')]","['help_oneself.v.01', 'sedate.v.01', 'heated.s.01', 'trade.v.03', 'sexual_intercourse.n.01', 'uranium.n.01', 'japan.v.01', 'top.v.07', 'business.n.04', 'group.v.02', 'urge.v.01', 'government.n.03', 'remove.v.02', 'residual.n.02', 'significance.n.02', 'restriction.n.01', 'agricultural.a.01', 'product.n.05']"
3,21,Agriculture- Minister- Kato- ruled- emotional- reaction- senior- ministry- official- said- farm- issue- become- scapegoat- trade- pressure- industrial- sector,"[Synset('agribusiness.n.01'), Synset('minister.v.02'), Synset('ruled.s.01'), Synset('emotional.a.03'), Synset('reaction.n.05'), Synset('elder.n.01'), Synset('ministry.n.04'), Synset('official.s.05'), Synset('suppose.v.01'), Synset('farm.v.01'), Synset('offspring.n.01'), Synset('become.v.02'), Synset('scapegoat.n.01'), Synset('trade.v.03'), Synset('pressure.n.02'), Synset('industrial.s.04'), Synset('sector.n.05')]","['agribusiness.n.01', 'minister.v.02', 'ruled.s.01', 'emotional.a.03', 'reaction.n.05', 'elder.n.01', 'ministry.n.04', 'official.s.05', 'suppose.v.01', 'farm.v.01', 'offspring.n.01', 'become.v.02', 'scapegoat.n.01', 'trade.v.03', 'pressure.n.02', 'industrial.s.04', 'sector.n.05']"
3,22,,[],[]
4,0,,[],[]
4,1,Last- December- pct- increase- consumer- price- refined- maize- meal- Zambian- staple- led- food- riots- least- people- died,"[Synset('last.v.01'), Synset('december.n.01'), Synset('percentage.n.01'), Synset('increase.n.03'), Synset('consumer.n.01'), Synset('price.n.05'), Synset('refine.v.04'), Synset('gamboge.n.02'), Synset('meal.n.03'), Synset('zambian.n.01'), Synset('staple.v.01'), Synset('run.v.03'), Synset('food.n.02'), Synset('rioting.n.01'), Synset('least.a.01'), Synset('people.n.03'), Synset('die.v.08')]","['last.v.01', 'december.n.01', 'percentage.n.01', 'increase.n.03', 'consumer.n.01', 'price.n.05', 'refine.v.04', 'gamboge.n.02', 'meal.n.03', 'zambian.n.01', 'staple.v.01', 'run.v.03', 'food.n.02', 'rioting.n.01', 'least.a.01', 'people.n.03', 'die.v.08']"
4,2,price- increase- President- Kenneth- Kaunda- later- revoked- followed- pressure- International- Monetary- Fund- IMF- reduce- government- subsidy- bill,"[Synset('price.n.05'), Synset('increase.n.03'), Synset('president.n.05'), Synset('kaunda.n.01'), Synset('subsequently.r.01'), Synset('revoke.v.02'), Synset('take_after.v.02'), Synset('pressure.n.02'), Synset('international.n.01'), Synset('monetary.a.01'), Synset('store.n.02'), Synset('international_monetary_fund.n.01'), Synset('reduce.v.15'), Synset('government.n.03'), Synset('subsidy.n.01'), Synset('poster.n.01')]","['price.n.05', 'increase.n.03', 'president.n.05', 'kaunda.n.01', 'subsequently.r.01', 'revoke.v.02', 'take_after.v.02', 'pressure.n.02', 'international.n.01', 'monetary.a.01', 'store.n.02', 'international_monetary_fund.n.01', 'reduce.v.15', 'government.n.03', 'subsidy.n.01', 'poster.n.01']"
4,3,However- producer- price- rise- dlrs- dlrs- per- kg- bag- accompanied- retail- price- increase- government- spend- subsidies- practice- discouraged- IMF,"[Synset('however.r.01'), Synset('producer.n.02'), Synset('price.n.05'), Synset('upgrade.n.04'), Synset('kilogram.n.01'), Synset('bulge.v.02'), Synset('company.v.01'), Synset('retail.r.01'), Synset('price.n.05'), Synset('increase.n.03'), Synset('government.n.03'), Synset('spend.v.01'), Synset('subsidy.n.01'), Synset('rehearse.v.01'), Synset('warn.v.02'), Synset('international_monetary_fund.n.01')]","['however.r.01', 'producer.n.02', 'price.n.05', 'upgrade.n.04', 'kilogram.n.01', 'bulge.v.02', 'company.v.01', 'retail.r.01', 'price.n.05', 'increase.n.03', 'government.n.03', 'spend.v.01', 'subsidy.n.01', 'rehearse.v.01', 'warn.v.02', 'international_monetary_fund.n.01']"
4,4,way- raise- subsidy- levels- meal,"[Synset('way.r.01'), Synset('raise.v.24'), Synset('subsidy.n.01'), Synset('level.n.05'), Synset('meal.n.03')]","['way.r.01', 'raise.v.24', 'subsidy.n.01', 'level.n.05', 'meal.n.03']"
4,5,,[],[]
5,0,,[],[]
5,1,,[],[]
5,2,However- showers- fell- intermittently- last- weekend- producers- feared- another- spell- prolonged- intense- rain- could- cause- damage- crops- already- badly- hit- season,"[Synset('however.r.01'), Synset('shower.v.03'), Synset('hide.n.01'), Synset('intermittently.r.01'), Synset('last.v.01'), Synset('weekend.n.01'), Synset('producer.n.02'), Synset('fear.v.01'), Synset('another.s.01'), Synset('while.n.01'), Synset('prolong.v.02'), Synset('intense.a.01'), Synset('rain.v.01'), Synset('lawsuit.n.01'), Synset('wrong.n.02'), Synset('crop.v.05'), Synset('already.r.01'), Synset('ill.r.01'), Synset('strike.v.04'), Synset('season.n.03')]","['however.r.01', 'shower.v.03', 'hide.n.01', 'intermittently.r.01', 'last.v.01', 'weekend.n.01', 'producer.n.02', 'fear.v.01', 'another.s.01', 'while.n.01', 'prolong.v.02', 'intense.a.01', 'rain.v.01', 'lawsuit.n.01', 'wrong.n.02', 'crop.v.05', 'already.r.01', 'ill.r.01', 'strike.v.04', 'season.n.03']"
5,3,Rains- middle- last- week- reached- average- millimetres- parts- Buenos- Aires- province- mm- Cordoba- Santa- Fe- Entre- Rios- Misiones- Corrientes- eight- Chaco- Formosa,"[Synset('rain.v.01'), Synset('middle.n.04'), Synset('last.v.01'), Synset('workweek.n.01'), Synset('reach.v.07'), Synset('modal.s.01'), Synset('millimeter.n.01'), Synset('part.n.11'), Synset('aire.n.01'), Synset('state.n.01'), Synset('millimeter.n.01'), Synset('cordoba.n.04'), Synset('santa_claus.n.01'), Synset('iron.n.01'), Synset('rio_de_janeiro.n.01'), Synset('eight-spot.n.01'), Synset('taiwan.n.02')]","['rain.v.01', 'middle.n.04', 'last.v.01', 'workweek.n.01', 'reach.v.07', 'modal.s.01', 'millimeter.n.01', 'part.n.11', 'aire.n.01', 'state.n.01', 'millimeter.n.01', 'cordoba.n.04', 'santa_claus.n.01', 'iron.n.01', 'rio_de_janeiro.n.01', 'eight-spot.n.01', 'taiwan.n.02']"
5,4,rainfall- period- La- Pampa,"[Synset('rain.n.01'), Synset('period.n.07'), Synset('louisiana.n.01')]","['rain.n.01', 'period.n.07', 'louisiana.n.01']"
5,5,Producers- feared- continued- damp- conditions- could- produce- rotting- lead- still- lower- yield- estimates- crops- including- soybean,"[Synset('producer.n.02'), Synset('fear.v.01'), Synset('stay.v.04'), Synset('damp.n.01'), Synset('stipulate.v.01'), Synset('produce.v.02'), Synset('waste.v.10'), Synset('star.n.04'), Synset('still.r.04'), Synset('lower.v.01'), Synset('yield.n.03'), Synset('estimate.n.05'), Synset('crop.v.05'), Synset('include.v.03'), Synset('soy.n.04')]","['producer.n.02', 'fear.v.01', 'stay.v.04', 'damp.n.01', 'stipulate.v.01', 'produce.v.02', 'waste.v.10', 'star.n.04', 'still.r.04', 'lower.v.01', 'yield.n.03', 'estimate.n.05', 'crop.v.05', 'include.v.03', 'soy.n.04']"
5,6,However- lands- began- drying- later- week- harvesting- advanced- considerably- reaching- pct- area- sown- case- sunflower,"[Synset('however.r.01'), Synset('state.n.04'), Synset('begin.v.10'), Synset('dry.v.02'), Synset('subsequently.r.01'), Synset('workweek.n.01'), Synset('harvest.v.02'), Synset('promote.v.02'), Synset('well.r.07'), Synset('reach.v.07'), Synset('percentage.n.01'), Synset('sphere.n.01'), Synset('sow.v.02'), Synset('subject.n.06'), Synset('sunflower.n.01')]","['however.r.01', 'state.n.04', 'begin.v.10', 'dry.v.02', 'subsequently.r.01', 'workweek.n.01', 'harvest.v.02', 'promote.v.02', 'well.r.07', 'reach.v.07', 'percentage.n.01', 'sphere.n.01', 'sow.v.02', 'subject.n.06', 'sunflower.n.01']"
5,7,,[],[]
5,8,season- sunflowerseed- production- forecast- mln- mln- tonnes- mln- mln- forecast- last- week- pct- record- mln,"[Synset('season.n.03'), Synset('production.n.06'), Synset('prognosis.n.01'), Synset('metric_ton.n.01'), Synset('prognosis.n.01'), Synset('last.v.01'), Synset('workweek.n.01'), Synset('percentage.n.01'), Synset('record.v.01')]","['season.n.03', 'production.n.06', 'prognosis.n.01', 'metric_ton.n.01', 'prognosis.n.01', 'last.v.01', 'workweek.n.01', 'percentage.n.01', 'record.v.01']"
5,9,Area- sown- sunflowers- two- mln- hectares- pct- record- mln- hectares- last- season,"[Synset('sphere.n.01'), Synset('sow.v.02'), Synset('sunflower.n.01'), Synset('two.n.01'), Synset('hectare.n.01'), Synset('percentage.n.01'), Synset('record.v.01'), Synset('hectare.n.01'), Synset('last.v.01'), Synset('season.n.03')]","['sphere.n.01', 'sow.v.02', 'sunflower.n.01', 'two.n.01', 'hectare.n.01', 'percentage.n.01', 'record.v.01', 'hectare.n.01', 'last.v.01', 'season.n.03']"
5,10,Maize- harvesting- also- reached- pct- area- sown,"[Synset('gamboge.n.02'), Synset('harvest.v.02'), Synset('besides.r.02'), Synset('reach.v.07'), Synset('percentage.n.01'), Synset('sphere.n.01'), Synset('sow.v.02')]","['gamboge.n.02', 'harvest.v.02', 'besides.r.02', 'reach.v.07', 'percentage.n.01', 'sphere.n.01', 'sow.v.02']"
5,11,near- completion- Cordoba- Santa- Fe- begin- La- Pampa- southern- Buenos- Aires- later- April,"[Synset('dear.s.02'), Synset('completion.n.02'), Synset('cordoba.n.04'), Synset('santa_claus.n.01'), Synset('iron.n.01'), Synset('begin.v.10'), Synset('louisiana.n.01'), Synset('southern.a.01'), Synset('aire.n.01'), Synset('subsequently.r.01'), Synset('april.n.01')]","['dear.s.02', 'completion.n.02', 'cordoba.n.04', 'santa_claus.n.01', 'iron.n.01', 'begin.v.10', 'louisiana.n.01', 'southern.a.01', 'aire.n.01', 'subsequently.r.01', 'april.n.01']"
5,12,Production- estimates- maize- last- week- mln- mln- tonnes- mln- mln- estimated- previously,"[Synset('production.n.06'), Synset('estimate.n.05'), Synset('gamboge.n.02'), Synset('last.v.01'), Synset('workweek.n.01'), Synset('metric_ton.n.01'), Synset('estimate.v.01'), Synset('previously.r.01')]","['production.n.06', 'estimate.n.05', 'gamboge.n.02', 'last.v.01', 'workweek.n.01', 'metric_ton.n.01', 'estimate.v.01', 'previously.r.01']"
5,13,pct- mln- mln- tonnes- estimated- private- sources- crop- pct- official- figure- mln- tonnes,"[Synset('percentage.n.01'), Synset('metric_ton.n.01'), Synset('estimate.v.01'), Synset('secret.s.05'), Synset('source.n.07'), Synset('crop.v.05'), Synset('percentage.n.01'), Synset('official.s.05'), Synset('trope.n.01'), Synset('metric_ton.n.01')]","['percentage.n.01', 'metric_ton.n.01', 'estimate.v.01', 'secret.s.05', 'source.n.07', 'crop.v.05', 'percentage.n.01', 'official.s.05', 'trope.n.01', 'metric_ton.n.01']"
5,14,Maize- sown- mln- mln- hectares- two- seven- pct- last- season- mln,"[Synset('gamboge.n.02'), Synset('sow.v.02'), Synset('hectare.n.01'), Synset('two.n.01'), Synset('seven-spot.n.01'), Synset('percentage.n.01'), Synset('last.v.01'), Synset('season.n.03')]","['gamboge.n.02', 'sow.v.02', 'hectare.n.01', 'two.n.01', 'seven-spot.n.01', 'percentage.n.01', 'last.v.01', 'season.n.03']"
5,15,Sorghum- harvested- pct- area- sown- Cordoba- Santa- Fe- Chaco,"[Synset('sorghum.n.03'), Synset('harvest.v.02'), Synset('percentage.n.01'), Synset('sphere.n.01'), Synset('sow.v.02'), Synset('cordoba.n.04'), Synset('santa_claus.n.01'), Synset('iron.n.01')]","['sorghum.n.03', 'harvest.v.02', 'percentage.n.01', 'sphere.n.01', 'sow.v.02', 'cordoba.n.04', 'santa_claus.n.01', 'iron.n.01']"
5,16,Harvest- start- La- Pampa- Buenos- Aires- mid- April,"[Synset('harvest.v.02'), Synset('startle.n.01'), Synset('louisiana.n.01'), Synset('aire.n.01'), Synset('mid.s.01'), Synset('april.n.01')]","['harvest.v.02', 'startle.n.01', 'louisiana.n.01', 'aire.n.01', 'mid.s.01', 'april.n.01']"
5,17,total- area- sown- mln- mln- hectares- pct- mln- sown- last- season,"[Synset('sum.n.02'), Synset('sphere.n.01'), Synset('sow.v.02'), Synset('hectare.n.01'), Synset('percentage.n.01'), Synset('sow.v.02'), Synset('last.v.01'), Synset('season.n.03')]","['sum.n.02', 'sphere.n.01', 'sow.v.02', 'hectare.n.01', 'percentage.n.01', 'sow.v.02', 'last.v.01', 'season.n.03']"
5,18,new- forecast- sorghum- crop- mln- mln- tonnes- compared- three- mln- mln- forecast- last- week- pct- last- season- mln- mln- tonne- crop,"[Synset('newfangled.s.01'), Synset('prognosis.n.01'), Synset('sorghum.n.03'), Synset('crop.v.05'), Synset('metric_ton.n.01'), Synset('compare.v.04'), Synset('trey.n.02'), Synset('prognosis.n.01'), Synset('last.v.01'), Synset('workweek.n.01'), Synset('percentage.n.01'), Synset('last.v.01'), Synset('season.n.03'), Synset('metric_ton.n.01'), Synset('crop.v.05')]","['newfangled.s.01', 'prognosis.n.01', 'sorghum.n.03', 'crop.v.05', 'metric_ton.n.01', 'compare.v.04', 'trey.n.02', 'prognosis.n.01', 'last.v.01', 'workweek.n.01', 'percentage.n.01', 'last.v.01', 'season.n.03', 'metric_ton.n.01', 'crop.v.05']"
5,19,soybean- crop- season- adjusted- remaining- record- mln- mln- tonnes- pct- mln- mln- estimated- private- sources- pct- higher- official- figure- mln,"[Synset('soy.n.04'), Synset('crop.v.05'), Synset('season.n.03'), Synset('align.v.01'), Synset('stay.v.04'), Synset('record.v.01'), Synset('metric_ton.n.01'), Synset('percentage.n.01'), Synset('estimate.v.01'), Synset('secret.s.05'), Synset('source.n.07'), Synset('percentage.n.01'), Synset('high.s.07'), Synset('official.s.05'), Synset('trope.n.01')]","['soy.n.04', 'crop.v.05', 'season.n.03', 'align.v.01', 'stay.v.04', 'record.v.01', 'metric_ton.n.01', 'percentage.n.01', 'estimate.v.01', 'secret.s.05', 'source.n.07', 'percentage.n.01', 'high.s.07', 'official.s.05', 'trope.n.01']"
