index_P,index_sent,words_not_stop
4,1,"['Last', 'December', 'pct', 'increase', 'consumer', 'price', 'refined', 'maize', 'meal', 'Zambian', 'staple', 'led', 'food', 'riots', 'least', 'people', 'died']"
4,2,"['price', 'increase', 'President', 'Kenneth', 'Kaunda', 'later', 'revoked', 'followed', 'pressure', 'International', 'Monetary', 'Fund', 'IMF', 'reduce', 'government', 'subsidy', 'bill']"
4,3,"['However', 'producer', 'price', 'rise', 'dlrs', 'dlrs', 'per', 'kg', 'bag', 'accompanied', 'retail', 'price', 'increase', 'government', 'spend', 'subsidies', 'practice', 'discouraged', 'IMF']"
4,4,"['way', 'raise', 'subsidy', 'levels', 'meal']"
4,5,[]
5,0,[]
5,1,[]
5,2,"['However', 'showers', 'fell', 'intermittently', 'last', 'weekend', 'producers', 'feared', 'another', 'spell', 'prolonged', 'intense', 'rain', 'could', 'cause', 'damage', 'crops', 'already', 'badly', 'hit', 'season']"
5,3,"['Rains', 'middle', 'last', 'week', 'reached', 'average', 'millimetres', 'parts', 'Buenos', 'Aires', 'province', 'mm', 'Cordoba', 'Santa', 'Fe', 'Entre', 'Rios', 'Misiones', 'Corrientes', 'eight', 'Chaco', 'Formosa']"
5,4,"['rainfall', 'period', 'La', 'Pampa']"
5,5,"['Producers', 'feared', 'continued', 'damp', 'conditions', 'could', 'produce', 'rotting', 'lead', 'still', 'lower', 'yield', 'estimates', 'crops', 'including', 'soybean']"
5,6,"['However', 'lands', 'began', 'drying', 'later', 'week', 'harvesting', 'advanced', 'considerably', 'reaching', 'pct', 'area', 'sown', 'case', 'sunflower']"
5,7,[]
5,8,"['season', 'sunflowerseed', 'production', 'forecast', 'mln', 'mln', 'tonnes', 'mln', 'mln', 'forecast', 'last', 'week', 'pct', 'record', 'mln']"
5,9,"['Area', 'sown', 'sunflowers', 'two', 'mln', 'hectares', 'pct', 'record', 'mln', 'hectares', 'last', 'season']"
5,10,"['Maize', 'harvesting', 'also', 'reached', 'pct', 'area', 'sown']"
5,11,"['near', 'completion', 'Cordoba', 'Santa', 'Fe', 'begin', 'La', 'Pampa', 'southern', 'Buenos', 'Aires', 'later', 'April']"
5,12,"['Production', 'estimates', 'maize', 'last', 'week', 'mln', 'mln', 'tonnes', 'mln', 'mln', 'estimated', 'previously']"
5,13,"['pct', 'mln', 'mln', 'tonnes', 'estimated', 'private', 'sources', 'crop', 'pct', 'official', 'figure', 'mln', 'tonnes']"
5,14,"['Maize', 'sown', 'mln', 'mln', 'hectares', 'two', 'seven', 'pct', 'last', 'season', 'mln']"
5,15,"['Sorghum', 'harvested', 'pct', 'area', 'sown', 'Cordoba', 'Santa', 'Fe', 'Chaco']"
5,16,"['Harvest', 'start', 'La', 'Pampa', 'Buenos', 'Aires', 'mid', 'April']"
5,17,"['total', 'area', 'sown', 'mln', 'mln', 'hectares', 'pct', 'mln', 'sown', 'last', 'season']"
5,18,"['new', 'forecast', 'sorghum', 'crop', 'mln', 'mln', 'tonnes', 'compared', 'three', 'mln', 'mln', 'forecast', 'last', 'week', 'pct', 'last', 'season', 'mln', 'mln', 'tonne', 'crop']"
5,19,"['soybean', 'crop', 'season', 'adjusted', 'remaining', 'record', 'mln', 'mln', 'tonnes', 'pct', 'mln', 'mln', 'estimated', 'private', 'sources', 'pct', 'higher', 'official', 'figure', 'mln']"
5,20,"['area', 'sown', 'soybeans', 'season', 'record', 'mln', 'mln', 'hectares', 'pct', 'record', 'mln', 'sown']"
5,21,"['soybean', 'crop', 'showing', 'excessive', 'moisture', 'areas', 'producers', 'fear', 'may', 'discover', 'damage']"
5,22,"['experimental', 'harvesting', 'carried', 'Santa', 'Fe', 'areas', 'making', 'one', 'pct', 'total', 'crop', 'details', 'available']"
5,23,[]
6,0,[]
6,1,[]
6,2,[]
6,3,"['better', 'hard', 'red', 'winter', 'pct', 'protein', 'minimum', 'pct', 'moisture', 'maximum']"
6,4,"['agent', 'said', 'NS', 'DNS', 'laydays', 'include', 'July', 'tonnes', 'Aug', 'tonnes', 'Sept', 'tonnes']"
6,5,"['HRW', 'laydays', 'include', 'June', 'tonnes', 'July', 'tonnes', 'September', 'tonnes']"
6,6,[]
7,0,[]
7,1,"['Ministry', 'spokesman', 'Leonardo', 'Brito', 'speaking', 'Brasilia', 'told', 'Reuters', 'believed', 'five', 'mln', 'tonnes', 'year', 'estimated', 'crop', 'mln', 'tonnes', 'would', 'lost']"
7,2,[]
7,3,"['Brazil', 'storage', 'capacity', 'mln', 'tonnes', 'theoretically', 'sufficient', 'crop']"
7,4,"['Brito', 'said', 'storage', 'capacity', 'badly', 'distributed']"
7,5,"['states', 'Sao', 'Paulo', 'Parana', 'Rio', 'Grande', 'Sul', 'pct', 'nation', 'capacity', 'responsible', 'pct', 'production']"
7,6,"['biggest', 'problems', 'concentrated', 'Centre', 'West', 'growing', 'regions', 'rising', 'production', 'outpaced', 'storage', 'capacity']"
7,7,"['Brito', 'said', 'Centre', 'West', 'whose', 'crops', 'include', 'soya', 'maize', 'pct', 'nation', 'grains', 'production', 'pct', 'storage', 'space']"
7,8,[]
7,9,"['Finally', 'shortage', 'lorries', 'transport', 'crops']"
7,10,"['sheer', 'scale', 'task', 'transporting', 'record', 'crop', 'evident', 'television', 'reports', 'shown', 'enormous', 'queues', 'lorries', 'waiting', 'outside', 'granaries']"
8,0,[]
8,1,[]
8,2,"['France', 'sold', 'total', 'tonnes', 'soft', 'wheat', 'Tunisia', 'since', 'begining', 'current', 'campaign', 'covered', 'COFACE', 'export', 'credits']"
8,3,[]
9,0,[]
9,1,"['bonus', 'awarded', 'dlrs', 'per', 'tonne', 'paid', 'Peavey', 'Company', 'form', 'commodities', 'CCC', 'stocks']"
9,2,[]
9,3,[]
9,4,[]
10,0,[]
10,1,[]
10,2,[]
11,0,[]
11,1,[]
11,2,"['season', 'imports', 'totaled', 'mln', 'tonnes', 'U', 'corn', 'total', 'mln', 'tonnes']"
11,3,[]
11,4,[]
12,0,"['USDA', 'SEEKS', 'COMMENTS', 'GRAIN', 'DISCOUNT', 'SCHEDULE', 'U', 'Agriculture', 'Department', 'seeking', 'public', 'comments', 'question', 'adjusting', 'Commodity', 'Credit', 'Corporation', 'CCC', 'discount', 'premium', 'schedules', 'improve', 'quality', 'grain', 'accepts', 'loan', 'collateral', 'price', 'support', 'programs']"
12,1,"['premiums', 'discounts', 'schedule', 'based', 'quality', 'factors', 'moisture', 'content', 'kernel', 'damage']"
12,2,[]
12,3,"['department', 'said', 'possible', 'producers', 'could', 'encouraged', 'delivery', 'higher', 'quality', 'grain', 'CCC', 'adjusting', 'premiums', 'discounts']"
12,4,"['Comments', 'due', 'April', 'report', 'Congress', 'required', 'law', 'May']"
12,5,[]
13,0,[]
13,1,"['official', 'noted', 'agreement', 'signed', 'January', 'provided', 'supply', 'tonnes', 'vegetable', 'oil', 'tonnes', 'corn', 'tonnes', 'wheat', 'delivery', 'current', 'fiscal', 'year', 'ending', 'September']"
13,2,"['purchase', 'authorizations', 'commodities', 'provided', 'January', 'agreement', 'announced', 'department']"
13,3,[]
14,0,"['JAPAN', 'MINISTRY', 'COMMENT', 'RICE', 'TALKS', 'REPORT', 'Agriculture', 'Ministry', 'declined', 'comment', 'local', 'newspaper', 'report', 'Japan', 'agreed', 'hold', 'talks', 'closed', 'rice', 'market', 'new', 'GATT', 'round']"
14,1,"['idea', 'report', 'cannot', 'comment', 'spokesman', 'told', 'Reuters']"
14,2,"['Nihon', 'Keizai', 'Shinbun', 'quoting', 'unnamed', 'government', 'sources', 'said', 'Japan', 'would', 'tell', 'U', 'Agriculture', 'Secretary', 'Richard', 'Lyng', 'U', 'Trade', 'Representative', 'Clayton', 'Yeutter', 'intentions']"
14,3,"['two', 'due', 'visit', 'Japan', 'later', 'month', 'farm', 'talks']"
14,4,"['U', 'pressing', 'Japan', 'discuss', 'rice', 'issue', 'new', 'round', 'General', 'Agreement', 'Tariffs', 'Trade', 'talks']"
14,5,"['Japan', 'said', 'GATT', 'right', 'forum']"
14,6,"['Imports', 'rice', 'Japan', 'banned', 'Foodstuff', 'Control', 'Act']"
14,7,[]
14,8,"['nation', 'world', 'trade', 'body', 'began', 'Uruguay', 'trade', 'round', 'last', 'September']"
14,9,"['take', 'four', 'years', 'negotiate']"
14,10,[]
15,0,[]
15,1,"['mln', 'hectares', 'wheat', 'affected']"
15,2,"['paper', 'said', 'abnormal', 'weather', 'conditions', 'encouraged', 'spread', 'wheat', 'midges', 'mln', 'hectares', 'Shanxi', 'Henan', 'Sichuan', 'Anhui', 'Hebei', 'Jiangsu']"
15,3,"['Henan', 'Shandong', 'Hebei', 'wheat', 'aphids', 'affecting', 'mln', 'hectares', 'wheat', 'red', 'mite', 'mln', 'hectares', 'wheat', 'powdery', 'mildew', 'mln', 'hectares']"
15,4,[]
16,0,"['FAO', 'SEES', 'LOWER', 'GLOBAL', 'WHEAT', 'GRAIN', 'OUTPUT', 'U', 'N', 'Food', 'Agriculture', 'Organisation', 'FAO', 'said', 'global', 'wheat', 'coarse', 'grain', 'output', 'likely', 'fall', 'supplies', 'would', 'remain', 'adequate', 'meet', 'demand']"
16,1,"['FAO', 'said', 'monthly', 'food', 'outlook', 'bulletin', 'total', 'world', 'grain', 'output', 'expected', 'fall', 'mln', 'tonnes', 'mln', 'due', 'mainly', 'unusually', 'high', 'winter', 'losses', 'Soviet', 'Union', 'drought', 'China', 'reduced', 'plantings', 'North', 'America']"
16,2,"['World', 'cereal', 'stocks', 'end', 'forecast', 'rise', 'mln', 'tonnes', 'record', 'mln', 'tonnes', 'softening', 'impact', 'reduced', 'production']"
16,3,[]
16,4,[]
16,5,"['FAO', 'said', 'world', 'cereal', 'supplies', 'estimated', 'record', 'mln', 'tonnes', 'five', 'pct', 'higher', 'last', 'season', 'due', 'mainly', 'large', 'stocks', 'record', 'harvest', 'estimated', 'mln', 'tonnes']"
16,6,"['FAO', 'forecast', 'world', 'cereals', 'trade', 'revised', 'upwards', 'eight', 'mln', 'tonnes', 'mln', 'due', 'likelihood', 'substantial', 'buying', 'China', 'Soviet', 'Union']"
16,7,[]
17,0,"['RPT', 'ARGENTINE', 'GRAIN', 'OILSEED', 'EXPORT', 'PRICES', 'ADJUSTED', 'Argentine', 'Grain', 'Board', 'adjusted', 'minimum', 'export', 'prices', 'grain', 'oilseed', 'products', 'dlrs', 'per', 'tonne', 'FOB', 'previous', 'brackets', 'follows', 'Sorghum', 'sunflowerseed', 'cake', 'expellers', 'pellets', 'meal', 'linseed', 'oil', 'groundnutseed', 'oil', 'soybean', 'oil', 'rapeseed', 'oil']"
17,1,"['Sunflowerseed', 'oil', 'shipment', 'May', 'june', 'onwards']"
17,2,"['board', 'also', 'adjusted', 'export', 'prices', 'export', 'taxes', 'levied', 'dlrs', 'per', 'tonne', 'FOB', 'previous', 'brackets', 'follows', 'Bran', 'pollard', 'wheat', 'pellets']"
17,3,[]
18,0,[]
18,1,[]
18,2,[]
18,3,"['steady', 'dlrs', 'paid', 'U', 'Gulf', 'Morocco', 'dlrs', 'paid', 'long', 'tons', 'Gulf', 'Taiwan']"
18,4,"['vessel', 'carrying', 'long', 'tons', 'bagged', 'wheat', 'flour', 'Gulf', 'Aqaba', 'received', 'lump', 'sum', 'dlrs']"
18,5,"['Grain', 'Great', 'Lakes', 'Algeria', 'made', 'dlrs', 'paid', 'similar', 'fixing', 'towards', 'end', 'March']"
18,6,"['Market', 'talk', 'suggested', 'Federal', 'Commerce', 'vessel', 'booked', 'move', 'grain', 'Great', 'Lakes', 'Morocco', 'Comanav', 'account', 'dlrs', 'paid', 'cargo', 'oilseeds', 'British', 'Columbia', 'Japan', 'confirmation', 'obtainable']"
18,7,"['Continent', 'shippers', 'agreed', 'dlrs', 'wheat', 'La', 'Pallice', 'Buenaventura', 'dlrs', 'grain', 'Ghent', 'Naples', 'Venice', 'range']"
18,8,"['Elsewhere', 'maize', 'East', 'London', 'Japan', 'paid', 'dlrs']"
18,9,"['Soviet', 'charterers', 'reappeared', 'timecharter', 'sector', 'secured', 'tonner', 'Savona', 'trans', 'Atlantic', 'round', 'trip', 'dlrs', 'daily', 'tonner', 'Antwerp', 'Hamburg', 'similar', 'voyage', 'dlrs', 'daily']"
18,10,[]
19,0,"['INDIA', 'FOODGRAIN', 'TARGET', 'MLN', 'TONNES', 'India', 'national', 'foodgrain', 'target', 'fixed', 'mln', 'tonnes', 'Apr', 'Mar', 'unchanged', 'target', 'Agriculture', 'Ministry', 'said', 'annual', 'report']"
19,1,"['Actual', 'output', 'estimated', 'mln', 'tonnes', 'due', 'failure', 'monsoon', 'rains', 'meterological', 'sub', 'divisions', 'country']"
19,2,"['report', 'gave', 'targets', 'various', 'crops', 'estimated', 'harvested', 'crops', 'brackets', 'following', 'mln', 'tonnes', 'rice', 'wheat', 'coarse', 'grains', 'including', 'sorghum', 'millets', 'pulses']"
19,3,[]
19,4,"['strategy', 'increasing', 'irrigation', 'potential', 'along', 'greater', 'use', 'high', 'yielding', 'seed', 'varieites', 'improvement', 'fertiliser', 'efficiency', 'yielding', 'results', 'said', 'adding', 'total', 'foodgrain', 'output', 'respectively', 'mln', 'tonnes', 'mln', 'record', 'mln']"
19,5,"['India', 'targeted', 'produce', 'mln', 'tonnes', 'foodgrains', 'last', 'year', 'seventh', 'five', 'year', 'development', 'plan', 'ending', 'March', 'Taking', 'midpoint', 'mln', 'tonnes', 'target', 'estimated', 'production', 'around', 'mln', 'tonnes', 'gap', 'mln', 'tonnes', 'made', 'remaining', 'three', 'years', 'plan', 'increasing', 'grain', 'output', 'annually', 'nine', 'mln', 'tonnes']"
19,6,[]
19,7,"['major', 'thrust', 'programme', 'therefore', 'better', 'water', 'irrigation', 'management']"
19,8,[]
19,9,[]
20,0,[]
20,1,"['purchase', 'included', 'tonnes', 'May', 'shipment', 'tonnes', 'June', 'shipment']"
20,2,"['Price', 'details', 'available']"
20,3,[]
21,0,"['ARGENTINE', 'GRAIN', 'BELT', 'WEATHER', 'REPORT', 'ARGENTINE', 'GRAIN', 'BELT', 'TEMPERATURES', 'CENTIGRADE', 'RAIN', 'MM', 'HOURS', 'GMT', 'MAX', 'TEMP', 'MIN', 'TEMP', 'RAINFALL', 'BUENOS', 'AIRES', 'BAHIA', 'BLANCA', 'TRES', 'ARROYOS', 'TANDIL', 'JUNIN', 'SANTA', 'ROSA', 'CORDOBA', 'SANTA', 'FE', 'REUTER']"
22,0,"['YUGOSLAVIA', 'TENDER', 'TONNES', 'WHEAT', 'Yugoslavia', 'tender', 'April', 'tonnes', 'wheat', 'U', 'Agriculture', 'Department', 'Counselor', 'Belgrade', 'said', 'field', 'report']"
22,1,"['report', 'dated', 'April', 'said', 'wheat', 'harvest', 'imports', 'soft', 'wheat', 'Europe', 'suppliers', 'considered']"
22,2,"['said', 'imports', 'used', 'rebuild', 'federal', 'reserves', 'result', 'subject', 'import', 'surcharges']"
22,3,[]
22,4,"['barley', 'rebates', 'European', 'currency', 'units', 'Ecus', 'per', 'tonne', 'sought', 'maize', 'Ecus', 'bread', 'making', 'wheat', 'around', 'Ecus', 'feed', 'wheat', 'around', 'Ecus']"
22,5,"['Barley', 'rebates', 'Ecus', 'requested', 'total', 'tonnes', 'Ecus', 'tonnes']"
22,6,[]
22,7,[]
23,0,"['EC', 'AUTHORISES', 'EXPORT', 'TONNES', 'MAIZE', 'MAXIMUM', 'REBATE', 'ECUS', 'TONNE', 'TRADE', 'SOURCES']"
23,1,"['EC', 'AUTHORISES', 'EXPORT', 'TONNES', 'MAIZE', 'MAXIMUM', 'REBATE', 'ECUS', 'TONNE', 'TRADE', 'SOURCES']"
23,2,[]
24,0,"['EC', 'AUTHORISES', 'EXPORT', 'TONNES', 'BARLEY', 'MAXIMUM', 'REBATE', 'ECUS', 'BRUSSELS', 'TRADE', 'EC', 'AUTHORISES', 'EXPORT', 'TONNES', 'BARLEY', 'MAXIMUM', 'REBATE', 'ECUS', 'BRUSSELS', 'TRADE']"
25,0,[]
25,1,[]
25,2,[]
26,0,"['BRAZIL', 'SOYBEAN', 'YIELDS', 'SEEN', 'AVERAGE', 'USDA', 'REPORT', 'Based', 'field', 'travel', 'Brazilian', 'state', 'Parana', 'soybean', 'yields', 'average', 'tonnes', 'per', 'hectare', 'U', 'Agriculture', 'Department', 'officer', 'Sao', 'Paulo', 'said', 'field', 'report']"
26,1,"['report', 'dated', 'March', 'noted', 'Parana', 'accounts', 'pct', 'Brazil', 'total', 'soybean', 'crop']"
26,2,"['said', 'generally', 'favorable', 'weather', 'early', 'December', 'February', 'helped', 'compensate', 'earlier', 'dryness']"
26,3,[]
26,4,[]
26,5,[]
26,6,"['Due', 'late', 'plantings', 'pct', 'corn', 'crop', 'crop', 'harvested']"
26,7,[]
26,8,"['New', 'crop', 'wheat', 'plantings', 'expected', 'decline', 'Parana', 'accounts', 'pct', 'total', 'production']"
26,9,"['Major', 'reasons', 'decline', 'expected', 'reduced', 'government', 'support', 'price', 'good', 'summer', 'crop', 'harvests']"
26,10,[]
27,0,[]
27,1,"['ELEVATOR', 'LOADING', 'WAITING', 'Continental', 'Grain', 'Westwego', 'Mississippi', 'River', 'Myrtle', 'Grove', 'ADM', 'Growmark', 'Bunge', 'Grain', 'Destrehan', 'ELEVATOR', 'LOADING', 'WAITING', 'ST', 'CHARLES', 'DESTREHAN', 'RESERVE', 'ELEVATOR', 'CORP', 'PEAVEY', 'CO', 'ST', 'ELMO', 'CARGILL', 'GRAIN', 'TERRE', 'HAUTE', 'CARGILL', 'GRAIN', 'PORT', 'ALLEN', 'ZEN', 'NOH']"
28,0,[]
28,1,[]
28,2,[]
28,3,"['sources', 'said', 'intervention', 'price', 'maize', 'would', 'Ecus', 'tonne']"
28,4,[]
28,5,[]
29,0,"['LONDON', 'GRAIN', 'FREIGHTS', 'long', 'tons', 'USG', 'Taiwan', 'dlrs', 'fio', 'five', 'days', 'Continental']"
29,1,"['Trade', 'Banner', 'long', 'tons', 'grain', 'USG', 'Morocco', 'dlrs', 'end', 'April', 'early', 'May', 'Comanav']"
29,2,"['Reference', 'New', 'York', 'Grain', 'Freights', 'April', 'ship', 'brokers', 'say', 'vessel', 'fixed', 'Cam', 'Great', 'Lakes', 'Algeria', 'dlrs', 'reported', 'Vamand', 'Wave']"
29,3,"['Reference', 'New', 'York', 'Grain', 'Freights', 'April', 'say', 'Cory', 'Grain', 'maize', 'business', 'East', 'London', 'dlrs', 'Japan', 'Spain', 'reported']"
29,4,[]
30,0,"['LONDON', 'GRAIN', 'FREIGHT', 'ENQUIRIES', 'Antwerp', 'Libya', 'mt', 'bagged', 'flour', 'daps']"
30,1,"['New', 'Orleans', 'Guanta', 'mt', 'bulk', 'hss', 'days']"
30,2,[]
30,3,"['Dunkirk', 'Xingang', 'mt', 'bagged', 'flour']"
30,4,"['Toledo', 'Seaforth', 'mt', 'hss', 'offers', 'dlrs', 'four', 'days']"
30,5,"['River', 'Plate', 'Malaysia', 'long', 'tons', 'hss', 'Apr']"
30,6,[]
31,0,[]
31,1,"['Trade', 'sources', 'said', 'cancellation', 'followed', 'offer', 'Egyptian', 'company', 'Islamic', 'Corp', 'dlrs', 'tonne', 'cost', 'freight', 'undercutting', 'traders', 'offers', 'dlrs', 'tonne']"
31,2,"['Egyptian', 'trade', 'official', 'Paris', 'confirmed', 'cancellation', 'tender', 'following', 'Islamic', 'Corp', 'offer', 'said', 'government', 'refused', 'legal', 'reasons']"
31,3,"['official', 'denied', 'trade', 'reports', 'government', 'might', 'substituted', 'private', 'deal', 'Islamic', 'Corp', 'original', 'tender']"
31,4,[]
32,0,"['USDA', 'ESTIMATES', 'USSR', 'GRAIN', 'IMPORTS', 'MLN', 'TONNES', 'VS', 'MARCH', 'YEAR', 'AGO', 'USDA', 'ESTIMATES', 'USSR', 'GRAIN', 'IMPORTS', 'MLN', 'TONNES', 'VS', 'MARCH', 'YEAR', 'AGO']"
33,0,"['USDA', 'ESTIMATES', 'SOVIET', 'GRAIN', 'CROP', 'MLN', 'TONNES', 'VS', 'MARCH', 'YEAR', 'AGO', 'USDA', 'ESTIMATES', 'SOVIET', 'GRAIN', 'CROP', 'MLN', 'TONNES', 'VS', 'MARCH', 'YEAR', 'AGO']"
34,0,"['USDA', 'U', 'ENDING', 'CORN', 'STOCKS', 'MLN', 'BU', 'WHEAT', 'MLN', 'SOYBEANS', 'MLN', 'USDA', 'U', 'ENDING', 'CORN', 'STOCKS', 'MLN', 'BU', 'WHEAT', 'MLN', 'SOYBEANS', 'MLN']"
35,0,"['U', 'SUPPLY', 'DEMAND', 'HIGHLIGHTS', 'Following', 'highlights', 'U', 'Agriculture', 'Department', 'supply', 'demand', 'projections', 'seasons', 'mln', 'bushels', 'comparisons', 'unless', 'noted', 'Corn', 'Stocks', 'Aug', 'vs', 'last', 'month']"
35,1,"['Stocks', 'Aug', 'vs', 'last', 'month']"
35,2,"['Exports', 'projected', 'vs', 'last', 'month']"
35,3,"['Exports', 'vs', 'last', 'month']"
35,4,"['Domestic', 'use', 'vs', 'last', 'month']"
35,5,"['Usage', 'season', 'vs', 'last', 'month']"
35,6,"['Wheat', 'Stocks', 'May', 'projected', 'vs', 'last', 'month']"
35,7,"['Stocks', 'May', 'vs', 'last', 'month']"
35,8,"['Exports', 'season', 'vs', 'last', 'month']"
35,9,"['season', 'vs', 'last', 'month']"
35,10,"['Domestic', 'use', 'vs', 'last', 'month']"
35,11,"['vs', 'last', 'month']"
35,12,"['Cotton', 'mln', 'lb', 'bales', 'Stocks', 'July', 'vs', 'last', 'month']"
35,13,"['Stocks', 'July', 'vs', 'last', 'month']"
35,14,"['Exports', 'season', 'vs', 'last', 'month']"
35,15,"['Exports', 'vs', 'last', 'month']"
35,16,"['Soybeans', 'mln', 'bushels', 'Stocks', 'Aug', 'projected', 'vs', 'last', 'month']"
35,17,"['Stocks', 'Aug', 'vs', 'last', 'month']"
35,18,"['Soybean', 'crushings', 'vs', 'last', 'month']"
35,19,"['Crushings', 'vs', 'last', 'month']"
35,20,"['Exports', 'season', 'vs', 'last', 'month']"
35,21,"['Exports', 'vs', 'last', 'month']"
35,22,"['Soybean', 'Oil', 'mln', 'lbs', 'Stocks', 'Sept', 'vs', 'last', 'month']"
35,23,"['Stocks', 'Sept', 'vs', 'last', 'month']"
35,24,"['Exports', 'vs', 'last', 'month']"
35,25,"['Exports', 'vs', 'last', 'month']"
35,26,"['Soybean', 'Cake', 'Meal', 'thousand', 'short', 'tons', 'Stocks', 'Sept', 'vs', 'last', 'month']"
35,27,"['Stocks', 'Sept', 'vs', 'last', 'month']"
35,28,"['Exports', 'season', 'vs', 'last', 'month']"
35,29,"['Exports', 'vs', 'last', 'month']"
35,30,[]
36,0,[]
36,1,"['According', 'department', 'Export', 'Sales', 'Report', 'covering', 'transactions', 'week', 'ended', 'April', 'corn', 'transactions', 'consisted', 'tonnes', 'new', 'sales', 'changes', 'destinations', 'tonnes']"
36,2,"['Total', 'corn', 'commitments', 'USSR', 'delivery', 'fourth', 'agreement', 'year', 'amount', 'tonnes']"
36,3,"['Soviets', 'purchased', 'wheat', 'soybeans', 'fourth', 'year', 'agreement']"
36,4,[]
37,0,"['USDA', 'DETAILS', 'FREE', 'GRAIN', 'STOCKS', 'LOAN', 'U', 'Agriculture', 'Department', 'gave', 'projected', 'carryover', 'free', 'stocks', 'feedgrains', 'corn', 'wheat', 'loans', 'comparisons', 'follows', 'mln', 'bushels', 'except', 'feedgrains', 'mln', 'tonnes', 'Regular', 'Nine', 'Month', 'Loan', 'WHEAT', 'FEEDGRAINS', 'CORN', 'Special', 'Producer', 'Storage', 'Loan', 'Program', 'WHEAT', 'FEEDGRAINS', 'CORN']"
38,0,"['USDA', 'ESTIMATES', 'SOVIET', 'WHEAT', 'COARSE', 'GRAINS', 'U', 'Agriculture', 'Department', 'forecast', 'Soviet', 'wheat', 'crop', 'mln', 'tonnes', 'vs', 'mln', 'tonnes', 'last', 'month']"
38,1,"['put', 'crop', 'mln', 'tonnes', 'vs', 'mln', 'tonnes', 'last', 'month']"
38,2,"['Soviet', 'coarse', 'grain', 'production', 'estimated', 'mln', 'tonnes', 'vs', 'mln', 'tonnes', 'last', 'month']"
