,microphone.n.01,small_computer_system_interface.n.01,circuit_breaker.n.01,adapter.n.02,cam.n.02
keyboard.n.01,4.2086495709425495,4.2086495709425495,4.2086495709425495,4.2086495709425495,4.2086495709425495
kilometer.n.01,0.0,0.0,0.0,0.0,0.0
leo.n.03,1.2731327020020802,1.2731327020020802,1.2731327020020802,1.2731327020020802,1.2731327020020802
liaison.n.02,0.0,0.0,0.0,0.0,0.0
lyric.n.02,0.0,0.0,0.0,0.0,0.0
ma.n.01,1.55201187493294,1.55201187493294,1.55201187493294,1.55201187493294,1.55201187493294
macintosh.n.02,2.56104499047427,2.56104499047427,2.56104499047427,2.56104499047427,2.56104499047427
magnesium.n.01,0.0,0.0,0.0,0.0,0.0
manta.n.01,2.56104499047427,2.56104499047427,2.56104499047427,2.56104499047427,2.56104499047427
marriage.n.04,0.0,0.0,0.0,0.0,0.0
microphone.n.01,9.95651263927382,6.973747537180389,6.973747537180389,4.2086495709425495,4.2086495709425495
million.n.01,0.0,0.0,0.0,0.0,0.0
mistake.n.01,0.0,0.0,0.0,0.0,0.0
mode.n.06,0.0,0.0,0.0,0.0,0.0
mortarboard.n.01,2.56104499047427,2.56104499047427,2.56104499047427,2.56104499047427,2.56104499047427
motorcycle.n.01,3.35394846143047,3.35394846143047,3.35394846143047,3.35394846143047,3.35394846143047
musical_instrument_digital_interface.n.01,0.0,0.0,0.0,0.0,0.0
nan.n.04,0.0,0.0,0.0,0.0,0.0
national_rifle_association.n.01,0.0,0.0,0.0,0.0,0.0
new_mexico.n.01,1.2731327020020802,1.2731327020020802,1.2731327020020802,1.2731327020020802,1.2731327020020802
objective.n.02,4.2086495709425495,4.2086495709425495,4.2086495709425495,4.2086495709425495,4.2086495709425495
ocean.n.01,0.0,0.0,0.0,0.0,0.0
omnipotence.n.01,0.0,0.0,0.0,0.0,0.0
pawl.n.01,4.2086495709425495,4.2086495709425495,4.2086495709425495,4.2086495709425495,4.2086495709425495
performance.n.02,0.0,0.0,0.0,0.0,0.0
peter.n.01,0.0,0.0,0.0,0.0,0.0
phone.n.02,0.0,0.0,0.0,0.0,0.0
phosphorus.n.01,0.0,0.0,0.0,0.0,0.0
plot.n.01,0.0,0.0,0.0,0.0,0.0
pointer.n.04,1.55201187493294,1.55201187493294,1.55201187493294,1.55201187493294,1.55201187493294
policy.n.03,0.0,0.0,0.0,0.0,0.0
pop_music.n.01,0.0,0.0,0.0,0.0,0.0
portland.n.02,1.2731327020020802,1.2731327020020802,1.2731327020020802,1.2731327020020802,1.2731327020020802
price.n.05,0.0,0.0,0.0,0.0,0.0
range.n.04,1.2731327020020802,1.2731327020020802,1.2731327020020802,1.2731327020020802,1.2731327020020802
reduced_instruction_set_computing.n.01,0.0,0.0,0.0,0.0,0.0
restrainer.n.02,1.55201187493294,1.55201187493294,1.55201187493294,1.55201187493294,1.55201187493294
rhode_island.n.01,1.2731327020020802,1.2731327020020802,1.2731327020020802,1.2731327020020802,1.2731327020020802
ruthenium.n.01,0.0,0.0,0.0,0.0,0.0
scanner.n.04,3.35394846143047,3.35394846143047,3.35394846143047,3.35394846143047,3.35394846143047
senator.n.01,1.55201187493294,1.55201187493294,1.55201187493294,1.55201187493294,1.55201187493294
signal.n.01,0.0,0.0,0.0,0.0,0.0
slide.n.05,0.0,0.0,0.0,0.0,0.0
small_computer_system_interface.n.01,6.973747537180389,13.5232244594136,6.973747537180389,4.2086495709425495,4.2086495709425495
space.n.08,0.0,0.0,0.0,0.0,0.0
speaker.n.03,1.55201187493294,1.55201187493294,1.55201187493294,1.55201187493294,1.55201187493294
spice.n.02,0.0,0.0,0.0,0.0,0.0
starter.n.07,0.0,0.0,0.0,0.0,0.0
stick.n.03,3.35394846143047,3.35394846143047,3.35394846143047,3.35394846143047,3.35394846143047
subject.n.06,1.55201187493294,1.55201187493294,1.55201187493294,1.55201187493294,1.55201187493294
sunlight.n.01,0.0,0.0,0.0,0.0,0.0
tempest.n.02,0.0,0.0,0.0,0.0,0.0
testing.n.02,0.0,0.0,0.0,0.0,0.0
thinker.n.01,1.55201187493294,1.55201187493294,1.55201187493294,1.55201187493294,1.55201187493294
tiger.n.02,1.55201187493294,1.55201187493294,1.55201187493294,1.55201187493294,1.55201187493294
tire.n.01,2.56104499047427,2.56104499047427,2.56104499047427,2.56104499047427,2.56104499047427
transcript.n.02,0.0,0.0,0.0,0.0,0.0
tribe.n.01,0.0,0.0,0.0,0.0,0.0
turk.n.01,1.55201187493294,1.55201187493294,1.55201187493294,1.55201187493294,1.55201187493294
variety_show.n.01,0.0,0.0,0.0,0.0,0.0
version.n.06,0.0,0.0,0.0,0.0,0.0
volt.n.01,0.0,0.0,0.0,0.0,0.0
wagon.n.04,3.35394846143047,3.35394846143047,3.35394846143047,3.35394846143047,3.35394846143047
winder.n.02,4.2086495709425495,4.2086495709425495,4.2086495709425495,4.2086495709425495,5.744037772853018
windowpane.n.01,2.56104499047427,2.56104499047427,2.56104499047427,2.56104499047427,2.56104499047427
wise_men.n.01,0.0,0.0,0.0,0.0,0.0
wrong.n.02,0.0,0.0,0.0,0.0,0.0
yeast.n.01,0.0,0.0,0.0,0.0,0.0
